서비스_업종_코드_명,상권_코드,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,총_직장_인구_수,총_상주인구_수
중식음식점,3110170,2181942.8,967461.2,1214481.4,290253.1,395897.1,418856.03,340363.1,322518.1,414054.44,719290.2,472231.1,209912.03,194048.05,289735.1,296726.1,308638.1,305758.1,308910.1,307884.1,303719.1,317342.1,329689.1,389.0,6050.0
중식음식점,3110171,339265.44,156525.52,182741.25,36121.32,39605.14,50674.047,48890.12,63447.094,100526.09,126042.57,70084.29,27691.203,25498.172,41482.055,48468.12,48453.055,47487.324,47874.17,47998.098,47660.12,49037.164,50755.07,222.0,2156.0
중식음식점,3110172,923229.4,417430.28,505799.62,175719.88,112118.11,144302.05,162207.95,141613.1,187269.05,251037.05,189349.17,100263.03,102897.06,151398.11,128284.086,131632.22,131589.05,132146.11,131519.08,131454.08,131585.05,133303.05,973.0,3784.0
중식음식점,3110173,340037.1,173208.95,166828.05,43552.992,45626.004,61206.0,51491.008,62856.0,75305.0,91362.01,81858.98,41972.99,36647.99,46996.992,41197.99,48648.99,48252.98,48385.008,48482.996,48809.004,49237.02,48220.008,542.0,1266.0
중식음식점,3110174,694905.6,306336.22,388570.28,96255.37,81250.02,102600.02,110820.15,107765.02,196217.05,210569.06,140363.3,68353.45,70251.02,108661.11,96709.125,95970.17,96010.18,97848.24,96558.25,96028.13,103732.11,108761.17,683.0,4553.0
중식음식점,3110175,985613.2,456760.66,528854.75,151807.39,156154.05,174984.95,175617.02,155749.1,171300.95,259886.45,198233.48,113639.22,119441.99,169823.97,124589.01,139947.03,139018.34,140552.2,140068.0,139726.02,142122.94,144180.03,874.0,4797.0
중식음식점,3110176,1352767.1,618616.06,734151.06,134683.05,172131.95,196089.02,198868.95,241456.05,409540.1,418383.9,265663.94,131527.48,135620.05,212524.02,189048.03,188103.05,186892.05,189549.02,187719.97,186359.02,203089.02,211057.02,782.0,5677.0
중식음식점,3110177,114376.2,50296.027,64080.01,15517.025,13501.006,16439.006,19097.01,18611.973,31209.994,36114.027,23935.02,11145.019,10885.003,16999.008,15300.019,15509.042,15619.003,15878.02,15671.004,15535.997,17518.012,18645.012,72.0,1457.0
중식음식점,3110178,360733.56,159323.81,201409.44,60462.473,50131.984,49105.004,62269.99,56958.945,81803.95,97903.98,78952.85,46559.766,41709.965,53304.973,42299.973,51191.97,51504.855,51320.88,51528.914,49736.89,50948.99,54501.984,293.0,1055.0
중식음식점,3110179,404374.9,177768.95,226606.95,70887.95,53708.99,54379.004,70494.01,64400.008,90505.01,117860.98,89006.98,50757.97,45246.977,54040.99,47462.004,59071.0,59475.99,59345.004,59274.99,57240.99,54061.0,55907.004,1004.0,998.0
중식음식점,3110180,266843.9,124809.98,142034.95,26916.994,35105.99,42263.99,47301.945,48038.977,67215.98,61670.99,52550.99,36356.99,37636.99,48752.97,29873.994,38288.99,37730.99,38653.99,38688.99,39012.99,39249.99,35216.973,7034.0,1207.0
중식음식점,3120053,2865298.0,1304534.4,1560764.5,276177.28,1198551.2,483984.2,328065.9,270324.7,308194.53,518672.28,461043.78,361587.9,417618.9,694442.06,411935.9,379339.9,389045.9,400816.75,396566.9,422420.28,466094.7,411015.9,1689.0,4002.0
중식음식점,3120054,2059142.1,955326.3,1103810.0,256290.88,828030.3,337755.9,239460.92,188536.95,209056.88,514951.66,426702.78,264811.6,256363.66,338132.03,258177.52,297689.2,300631.62,304353.5,300056.0,294404.03,282031.72,279976.4,362.0,4920.0
중식음식점,3120055,2559313.2,1200074.8,1359239.6,230605.95,612322.8,549457.8,395628.94,327986.1,443313.97,575466.0,513983.1,311481.1,324949.9,495062.9,338372.9,362865.9,365634.9,369528.94,367126.97,371040.1,366865.9,356250.9,3475.0,6506.0
중식음식점,3120056,1370439.1,690943.06,679496.06,112425.98,310522.94,281580.94,214708.0,215122.95,236079.02,287378.06,270730.9,174264.81,181143.97,272365.9,184555.95,196349.05,197394.95,196597.97,197918.0,201625.92,198242.98,182309.95,7498.0,4317.0
중식음식점,3120057,1250219.4,559181.0,691037.8,203995.02,174604.05,208916.98,200946.02,183973.05,277783.16,275915.38,259065.0,157116.02,164070.02,234121.1,159931.16,173203.05,174543.95,175426.95,174179.05,175096.05,186556.02,191216.95,2527.0,3333.0
중식음식점,3120058,735145.94,336589.1,398555.16,146256.05,95830.04,121618.08,130567.016,106794.08,134080.1,204790.05,147905.31,78808.1,81539.09,121115.08,100987.02,104458.09,104475.05,104303.11,103983.2,103768.055,106157.02,108000.04,1201.0,1746.0
중식음식점,3120059,953108.6,438711.3,514396.12,177250.25,134222.1,155866.95,157786.95,153564.02,174416.95,208604.22,185875.25,122766.33,134525.48,186030.02,115311.02,137225.05,136698.08,137007.08,137223.16,139442.12,136746.97,128766.98,3984.0,4133.0
중식음식점,3120060,297857.97,145175.95,152681.98,41299.996,39745.2,49318.01,56985.01,49747.996,60759.99,60763.996,61441.996,43895.99,45826.99,53775.01,32153.0,41888.996,40959.996,42003.0,41905.996,43208.996,45615.99,42274.99,4425.0,5.0
중식음식점,3120061,333504.06,149960.03,183545.03,108863.02,34741.008,34174.004,60006.0,46597.008,49122.004,70490.01,58162.01,38626.01,47706.008,75260.01,43261.01,46955.008,46645.008,46462.01,46746.008,47539.008,51130.008,48027.004,1505.0,238.0
중식음식점,3130074,369518.9,170928.89,198588.95,31801.062,81092.98,62930.99,53051.99,59528.152,81112.98,113618.98,76922.98,35744.01,35491.01,56073.004,51670.004,51202.01,51380.004,51912.99,51520.98,51746.99,54839.004,56919.99,5.0,423.0
중식음식점,3130075,160622.95,79071.98,81550.98,16790.994,27917.994,26507.994,23689.994,28126.994,37589.99,39333.99,32030.992,18939.994,20237.992,29558.994,20520.994,22244.994,22224.994,22657.994,22435.994,22411.994,24116.994,24529.994,11.0,94.0
중식음식점,3130076,243379.95,119696.98,123682.01,30998.986,35674.0,38019.99,37005.0,40372.004,61309.99,54646.99,47683.992,29287.996,33008.99,48834.004,29918.994,34000.004,33581.004,34254.99,33818.004,34123.004,37170.99,36433.99,30.0,701.0
중식음식점,3130077,58923.99,25749.984,33174.99,4267.0,19429.812,10663.992,8250.997,7366.9946,8944.997,13279.954,11006.946,7452.9907,7876.998,11748.997,7558.9966,8004.996,8090.9907,8351.975,8194.965,8548.997,9140.977,8589.99,15.0,81.0
중식음식점,3130078,229670.02,109475.01,120194.98,19059.014,113006.01,38948.99,21573.006,16687.066,20395.096,60832.01,39878.004,22180.006,24003.006,45894.004,36881.99,30268.006,31114.0,31824.0,31683.996,33045.004,37177.0,34559.004,30.0,914.0
중식음식점,3130079,108692.98,50503.99,58188.99,8683.003,55237.99,17975.994,9936.0,7956.0015,8905.004,25910.994,17945.0,11094.997,12297.997,23589.994,17852.97,14361.0,14760.997,15046.997,14941.997,15623.997,17635.994,16321.997,26.0,309.0
중식음식점,3130080,52532.01,24781.006,27752.006,9865.003,6542.0015,9727.0,8778.996,7312.002,10308.005,12007.003,10138.004,6368.0015,6671.0015,10359.003,6991.0015,7311.0015,7295.0015,7317.0024,7295.0015,7298.002,7931.0015,8085.002,91.0,52.0
중식음식점,3130081,744212.06,337492.8,406719.75,82997.766,127675.98,124073.1,109621.39,115049.98,184793.81,194443.12,149945.78,85063.97,89754.97,127557.04,97447.02,104361.4,103933.96,105026.95,103997.97,104069.96,110715.32,112105.95,565.0,1851.0
중식음식점,3130082,73848.98,34551.0,39296.99,6945.9985,8917.997,12444.997,10522.997,13940.997,21074.994,17675.994,14043.997,8496.997,8904.997,14580.999,10145.997,9931.001,10072.997,10365.995,10169.997,10237.997,11206.997,11862.997,22.0,215.0
중식음식점,3130083,262342.9,126945.94,135397.02,38014.984,32396.994,48064.945,42052.97,42104.99,59710.004,63923.945,51742.99,32264.99,32832.99,48417.004,33161.99,36525.99,36615.99,36956.99,36656.99,36638.99,39305.99,39643.99,736.0,822.0
중식음식점,3130084,275936.9,125693.96,150240.95,28895.994,35745.953,39416.945,39494.938,50380.99,82000.98,82671.96,54873.97,28489.994,28675.994,43237.99,37988.99,39202.977,39106.99,39348.97,39097.98,39038.99,40022.99,40116.99,315.0,204.0
커피-음료,3110139,1994504.4,968324.25,1026181.44,246310.95,284429.9,341768.1,306266.1,329596.1,486132.1,554218.9,417965.1,208892.1,213661.06,326107.16,273661.12,283572.1,282525.1,285815.1,282572.1,284979.1,288307.1,286733.1,104.0,4940.0
커피-음료,3110140,2236020.2,1028493.06,1207527.6,190078.11,545369.8,370531.97,324512.97,344448.1,461079.84,616003.8,449772.03,239948.05,244062.05,382374.03,303860.9,307545.1,307277.1,311527.0,308523.03,314206.9,341329.9,345612.9,194.0,5105.0
커피-음료,3110141,1845460.6,869592.8,975865.6,149328.05,799402.9,326337.88,211215.92,155895.95,203278.98,498093.6,348581.78,191449.95,202777.95,337647.9,266906.75,249297.95,253542.62,259736.81,258016.95,268294.88,285780.9,270789.9,74.0,2945.0
커피-음료,3110142,1921262.6,901436.8,1019826.8,148946.06,841705.94,332328.1,205875.95,171122.98,221280.02,606291.8,421324.9,196492.95,180433.97,264264.9,252452.95,269592.7,269445.88,273274.9,270799.9,268625.9,280947.9,288574.9,89.0,6384.0
커피-음료,3110143,187763.8,89862.87,97900.9,36153.97,23952.988,27694.973,31915.951,28378.969,39666.82,47574.99,36948.953,21647.994,23092.994,33778.97,24718.957,26189.984,26017.963,26414.98,26265.941,26359.938,27878.973,28638.994,60.0,100.0
커피-음료,3110144,388276.9,173689.0,214586.88,25403.027,200812.92,67197.01,36161.99,28125.994,30576.006,117734.02,83524.94,39800.0,37099.99,58168.99,51948.992,53895.01,54556.004,55768.01,54801.92,54737.99,57011.945,57506.992,29.0,1994.0
커피-음료,3110145,305385.75,142555.48,162830.08,40641.426,129672.125,48160.688,30988.984,23110.977,32811.99,95660.77,68708.875,38084.258,33184.56,34942.5,34804.84,45782.67,45769.598,46697.695,46010.777,43446.812,38527.938,39150.914,9.0,546.0
커피-음료,3110146,1386514.6,648846.2,737668.2,281778.1,157248.06,224028.05,231583.33,200888.08,290991.1,418489.2,271332.1,140931.05,142058.05,220934.05,192771.16,194665.05,194224.11,196108.12,195585.34,196271.25,204302.05,205359.05,594.0,3483.0
커피-음료,3110147,931190.2,456362.0,474827.75,97393.92,266243.38,167291.17,127327.09,110395.08,162539.16,274111.03,197012.12,98108.09,94786.02,141121.89,126049.98,130938.375,131525.19,133144.31,131995.05,130998.18,134230.06,138357.19,225.0,6012.0
커피-음료,3110148,778050.0,370452.28,407596.62,79958.91,333075.38,130010.98,85228.98,69435.98,80336.98,204364.95,161230.52,97881.516,92828.27,123290.24,98452.83,111631.805,112965.2,114858.81,111695.84,109716.89,108491.86,108688.66,22.0,1588.0
커피-음료,3110149,188839.95,94265.98,94575.016,20121.0,58057.062,34324.992,28011.002,22729.002,25600.037,50327.008,40271.992,23859.996,22997.0,28271.998,23114.982,27493.006,27645.996,27782.0,27524.994,26973.0,25423.0,26001.002,214.0,1065.0
커피-음료,3110150,1756661.4,851201.2,905460.2,171186.05,345297.84,377968.75,272794.1,239077.05,350335.25,548073.2,368854.22,173181.05,166435.25,257869.05,242250.05,246409.05,246865.2,251128.05,248245.05,246779.19,257297.1,259938.03,1119.0,5501.0
커피-음료,3110151,1349794.6,648402.3,701391.2,211935.05,168990.3,233024.05,255777.7,198533.05,281535.03,416338.5,279022.3,133813.4,132870.06,204055.11,183697.05,187982.05,187036.23,188586.06,186969.19,188037.05,202757.12,208428.16,720.0,4293.0
커피-음료,3110152,217454.19,107501.17,109951.234,29213.02,27295.035,39955.152,35602.01,35808.01,49581.016,77676.02,45888.137,19142.117,18180.05,26825.023,29741.027,30428.072,30663.143,30711.176,30832.053,30773.09,31843.05,32203.055,256.0,1998.0
커피-음료,3110153,292140.9,137546.0,154592.95,27484.004,64653.0,62876.0,45395.99,39721.992,52009.99,69365.01,56084.004,33385.992,35006.0,56959.02,41341.97,41255.004,41564.0,41965.99,41699.004,42267.004,42235.99,41150.98,208.0,2291.0
커피-음료,3110154,1725741.6,818780.5,906961.06,232375.05,243448.08,284773.1,283894.1,274681.2,406570.53,503798.1,350118.9,179163.14,181695.05,273961.1,237004.05,240443.12,241636.05,242184.95,239828.95,239994.0,255706.05,265952.03,1449.0,4109.0
커피-음료,3110155,1034677.25,488333.97,546361.6,156044.95,323440.78,180863.92,141992.94,116007.98,116347.016,254954.88,226375.95,140463.86,134150.92,155665.7,123086.38,154449.44,155805.1,154447.94,154039.55,150380.42,133380.55,132192.75,1480.0,4025.0
커피-음료,3110156,938656.06,436470.06,502187.03,116549.01,208412.95,210772.95,139428.95,115004.98,148486.02,312199.03,198211.02,88260.01,83330.01,125012.0,131646.02,132149.0,133461.02,134575.02,132688.02,132516.02,135591.98,137675.02,332.0,5971.0
커피-음료,3110157,1398948.6,653537.9,745410.9,259893.95,158245.05,235340.97,257686.95,191930.95,295848.97,434288.9,286095.94,134402.05,138429.98,211123.95,194608.95,194939.95,196254.97,197490.97,196196.97,194518.97,206119.97,213424.97,613.0,5379.0
커피-음료,3110158,3090011.2,1416009.9,1674001.9,356391.03,418879.9,548520.8,434014.03,522764.12,809440.94,989035.8,622212.2,289307.03,286916.1,462590.1,439949.97,428896.1,428110.97,434893.97,428187.0,428037.97,457917.97,483966.9,268.0,6201.0
커피-음료,3110159,3558946.2,1711065.6,1847880.0,426705.9,645230.6,616102.06,544293.8,548379.94,778232.25,926845.0,728628.0,409719.0,413525.9,606756.8,473468.9,506874.0,504661.97,507194.03,505722.0,505005.9,514549.0,514940.06,2715.0,8475.0
커피-음료,3110160,472323.38,232661.1,239661.23,78240.01,83513.84,82746.02,78585.02,68246.02,80990.02,141834.1,105019.02,51218.96,47378.984,65962.03,60909.01,67892.02,68265.02,67683.02,67768.02,66943.02,65829.02,67942.02,330.0,1720.0
커피-음료,3110161,596624.1,275255.9,321368.06,65785.03,82468.01,109203.01,86284.01,101194.15,151691.02,162345.0,116819.01,67009.016,68542.02,102267.016,79642.99,83586.02,83343.02,83861.016,83936.99,83250.98,87505.02,91141.016,194.0,4609.0
커피-음료,3110162,371031.97,170259.95,200772.97,62084.0,56557.99,68124.945,60570.99,51015.99,72681.016,119898.98,74586.01,34163.004,33913.99,54542.0,53927.01,51819.99,52164.01,53082.99,52267.99,51800.99,54375.99,55520.004,181.0,3566.0
커피-음료,3110163,556485.8,258875.95,297611.8,113676.98,60239.96,88408.98,86137.01,82913.98,125109.01,152863.94,120234.94,62927.99,62336.004,85976.97,72146.945,79080.98,79776.96,79166.02,79495.98,80171.98,79430.98,79364.95,740.0,2799.0
커피-음료,3110164,485280.22,208460.95,276819.88,96562.58,73986.0,88646.02,73741.98,58372.99,93972.05,107038.98,104505.73,66800.89,63775.68,83649.98,59507.99,67987.98,69327.95,70052.95,70002.98,71281.84,68909.98,67716.875,190.0,3223.0
커피-음료,3110165,703884.2,332092.16,371791.12,108072.02,98941.055,121723.02,107617.02,115521.03,152009.05,231987.05,148823.05,66497.09,61576.055,94208.03,100791.02,102029.09,101328.02,101245.03,100781.02,101227.02,96858.02,100416.06,310.0,3952.0
커피-음료,3110166,1768511.4,836240.1,932271.1,178336.95,377517.2,367206.22,261347.05,250013.05,334090.06,501412.88,370752.1,198510.95,191555.97,270669.03,235612.03,256182.94,255204.95,255549.97,254381.05,253888.03,246765.02,246541.05,439.0,5804.0
커피-음료,3110167,1576624.6,726895.06,849730.06,273529.88,220730.05,258579.02,246370.95,228805.05,348610.03,508860.9,331255.97,154240.02,144047.08,218831.02,219388.02,223086.92,222378.02,223951.02,222062.03,220426.88,227101.95,237619.02,499.0,6587.0
커피-음료,3110168,446085.1,202620.05,243465.11,112931.8,53594.004,65968.88,61732.004,63545.887,88308.01,87805.01,101771.76,64247.984,59867.004,79112.92,53279.99,67827.055,66469.02,63990.99,65748.81,65584.82,57363.004,59100.996,418.0,2486.0
커피-음료,3110169,597812.94,299173.0,298640.9,79907.01,96473.99,108532.98,91289.95,97573.984,124038.125,143382.05,137595.83,76327.98,73025.98,94376.02,73105.02,87232.01,86972.01,86917.99,86904.01,87324.01,82640.0,79824.01,603.0,2412.0
커피-음료,3110170,2181942.8,967461.2,1214481.4,290253.1,395897.1,418856.03,340363.1,322518.1,414054.44,719290.2,472231.1,209912.03,194048.05,289735.1,296726.1,308638.1,305758.1,308910.1,307884.1,303719.1,317342.1,329689.1,389.0,6050.0
커피-음료,3110171,339265.44,156525.52,182741.25,36121.32,39605.14,50674.047,48890.12,63447.094,100526.09,126042.57,70084.29,27691.203,25498.172,41482.055,48468.12,48453.055,47487.324,47874.17,47998.098,47660.12,49037.164,50755.07,222.0,2156.0
