bizesId,bizesNm,brchNm,indsLclsCd,indsLclsNm,indsMclsCd,indsMclsNm,indsSclsCd,indsSclsNm,ksicCd,ksicNm,ctprvnCd,ctprvnNm,signguCd,signguNm,adongCd,adongNm,ldongCd,ldongNm,lnoCd,plotSctCd,plotSctNm,lnoMnno,lnoSlno,lnoAdr,rdnmCd,rdnm,bldMnno,bldSlno,bldMngNo,bldNm,rdnmAdr,oldZipcd,newZipcd,dongNo,flrNo,hoNo,lon,lat
MA010120220806531699,송파족발,광진점,I2,음식,I201,한식,I20103,족발/보쌈,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215870,구의3동,1121510300,구의동,1.12151E+18,1,대지,667,,서울특별시 광진구 구의동 667,1.12153E+11,서울특별시 광진구 아차산로,431,,1.12151E+24,강변에스케이뷰,서울특별시 광진구 아차산로 431,143203,5045,,1,,127.09019024,37.538653523
MA010120220806497726,고공,자양점,I2,음식,I201,한식,I20107,돼지고기 구이/찜,I56113,한식 육류 요리 전문점,11,서울특별시,11215,광진구,11215830,자양2동,1121510500,자양동,1.12151E+18,1,대지,606,16,서울특별시 광진구 자양동 606-16,1.12153E+11,서울특별시 광진구 뚝섬로,620,1,1.12151E+24,,서울특별시 광진구 뚝섬로 620-1,143865,5099,,1,,127.07856316,37.532183637
MA010120220806590879,미가유황오리,,I2,음식,I201,한식,I20107,돼지고기 구이/찜,I56113,한식 육류 요리 전문점,11,서울특별시,11215,광진구,11215760,중곡3동,1121510100,중곡동,1.12151E+18,1,대지,692,2,서울특별시 광진구 중곡동 692-2,1.12154E+11,서울특별시 광진구 동일로76길,63,,1.12151E+24,,서울특별시 광진구 동일로76길 63,143900,4905,,,,127.08209855,37.568131061
MA010120220806576832,성수완당,구의점,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215850,구의1동,1121510300,구의동,1.12151E+18,1,대지,246,75,서울특별시 광진구 구의동 246-75,1.12154E+11,서울특별시 광진구 아차산로51길,4,,1.12151E+24,,서울특별시 광진구 아차산로51길 4,143825,5044,,,,127.0854365,37.537314567
MA010120220806602233,금밥이레,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215860,구의2동,1121510300,구의동,1.12151E+18,1,대지,68,32,서울특별시 광진구 구의동 68-32,1.12153E+11,서울특별시 광진구 자양로,206,,1.12151E+24,,서울특별시 광진구 자양로 206,143819,4976,,,,127.08606826,37.545540234
MA010120220806636762,바다킹수산,,I2,음식,I201,한식,I20111,횟집,I56114,한식 해산물 요리 전문점,11,서울특별시,11215,광진구,11215870,구의3동,1121510300,구의동,1.12151E+18,1,대지,213,5,서울특별시 광진구 구의동 213-5,1.12154E+11,서울특별시 광진구 아차산로62길,3,,1.12151E+24,삼보빌딩,서울특별시 광진구 아차산로62길 3,143822,5047,,1,,127.09351765,37.539344704
MA010120220806619778,군자산책,,I2,음식,I201,한식,I20101,백반/한정식,G47221,음료 소매업,11,서울특별시,11215,광진구,11215750,중곡2동,1121510100,중곡동,1.12151E+18,1,대지,44,9,서울특별시 광진구 중곡동 44-9,1.12154E+11,서울특별시 광진구 능동로44길,41,,1.12151E+24,,서울특별시 광진구 능동로44길 41,143885,4921,,1,,127.08388951,37.560282126
MA010120220806648693,진짜곱창,,I2,음식,I201,한식,I20109,곱창 전골/구이,I56113,한식 육류 요리 전문점,11,서울특별시,11215,광진구,11215850,구의1동,1121510300,구의동,1.12151E+18,1,대지,248,135,서울특별시 광진구 구의동 248-135,1.12154E+11,서울특별시 광진구 자양로22길,33,,1.12151E+24,,서울특별시 광진구 자양로22길 33,143826,5040,,1,,127.08517901,37.539729433
MA010120220806694090,우리할매,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215820,자양1동,1121510500,자양동,1.12151E+18,1,대지,612,39,서울특별시 광진구 자양동 612-39,1.12154E+11,서울특별시 광진구 자양로15길,72,,1.12151E+24,,서울특별시 광진구 자양로15길 72,143866,5054,,1,,127.0797882,37.535138098
MA010120220806696326,임면옥,,I2,음식,I201,한식,I20106,냉면/밀면,I56112,한식 면 요리 전문점,11,서울특별시,11215,광진구,11215750,중곡2동,1121510100,중곡동,1.12151E+18,1,대지,161,28,서울특별시 광진구 중곡동 161-28,1.12153E+11,서울특별시 광진구 능동로,338,,1.12151E+24,,서울특별시 광진구 능동로 338,143898,4928,,1,,127.08104782,37.559500244
