서비스_업종_코드_명,상권_코드,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,총_직장_인구_수,총_상주인구_수,연도,분기,분기_sin,분기_cos
중식음식점,3110155,1030097.06,488771.72,545063.06,151797.62,322322.6,177128.03,141982.27,115574.91,116327.7,255420.86,227494.17,140480.8,134155.4,153526.08,121483.26,154535.73,156236.6,152528.22,151818.47,147923.55,130784.03,132167.1,1480.0,4025.0,2025,2,1.2246467991473532e-16,-1.0
중식음식점,3110156,932922.06,435622.5,498739.12,116544.12,206561.6,210234.36,134933.67,115070.09,146905.12,312586.0,198214.97,88267.305,83331.52,125026.07,128970.586,130425.695,131129.64,132236.02,131957.97,130730.48,133987.36,137826.03,332.0,5971.0,2025,2,1.2246467991473532e-16,-1.0
중식음식점,3110157,1397378.6,642923.0,747818.9,257583.06,150736.03,235291.75,252452.86,191676.61,278879.0,435715.66,283985.12,134430.72,135779.28,211492.5,194820.69,195012.78,194912.89,198126.69,196271.77,189662.98,203713.94,212557.67,613.0,5379.0,2025,2,1.2246467991473532e-16,-1.0
중식음식점,3110158,3056912.8,1408146.9,1648765.9,354946.44,406854.1,513517.28,425724.78,509507.06,808790.94,972130.94,613996.94,289136.8,285520.06,453153.25,433961.97,424162.6,419215.94,421574.1,423661.97,419335.06,451421.97,453836.66,268.0,6201.0,2025,2,1.2246467991473532e-16,-1.0
중식음식점,3110159,3554614.2,1701881.2,1847846.8,420944.22,645171.56,616091.0,544225.9,547534.6,772462.0,926840.94,728513.5,409813.78,413461.47,606776.8,473274.84,504965.97,504662.6,505394.88,505698.94,502572.94,513463.06,514938.9,2715.0,8475.0,2025,2,1.2246467991473532e-16,-1.0
중식음식점,3110160,472086.44,228865.42,234550.98,78251.24,83868.23,69662.41,78424.984,68216.93,78131.49,141952.8,105017.73,51413.465,48005.195,45139.805,60835.215,67882.75,60393.953,60139.03,67795.664,67220.34,60783.547,64748.89,330.0,1720.0,2025,2,1.2246467991473532e-16,-1.0
중식음식점,3110161,583528.2,276024.78,310593.06,64831.027,80203.38,109198.06,85654.65,101002.23,146652.05,163010.67,115232.02,65067.023,68650.07,103414.27,78783.02,82450.03,80494.03,83931.336,84032.66,83692.914,86946.26,89652.03,194.0,4609.0,2025,2,1.2246467991473532e-16,-1.0
중식음식점,3110162,369899.97,163563.28,200525.39,60088.0,54759.01,67282.69,60414.39,50928.785,69969.02,114909.336,73605.57,32098.006,32307.002,51681.223,54119.887,50716.453,50869.316,50437.773,50003.117,51669.44,52954.547,55573.35,181.0,3566.0,2025,2,1.2246467991473532e-16,-1.0
중식음식점,3110163,540425.75,248304.11,294569.84,113921.22,60211.01,88484.8,84787.805,82389.09,125602.19,145537.14,119998.76,62832.133,62324.73,86211.695,72139.02,77093.01,77340.85,76585.375,78816.83,75619.445,79424.77,75771.914,740.0,2799.0,2025,2,1.2246467991473532e-16,-1.0
중식음식점,3110164,485315.9,208495.0,277074.97,100465.14,74014.89,88026.2,72645.01,58375.06,94258.14,106603.85,104639.57,63471.926,63588.082,81876.195,60084.992,68849.95,68043.36,67993.87,69664.85,70935.664,66795.94,67813.78,190.0,3223.0,2025,2,1.2246467991473532e-16,-1.0
중식음식점,3110165,703884.56,332012.16,371791.12,108536.805,98941.04,121723.02,106980.78,115521.1,152013.02,231987.03,148823.05,66486.734,61414.63,94197.51,100791.04,102029.54,101328.195,101396.51,100781.03,101242.15,96858.164,100434.38,310.0,3952.0,2025,2,1.2246467991473532e-16,-1.0
중식음식점,3110166,1756118.5,819561.3,931098.75,178346.95,346656.34,357292.0,261468.38,249826.89,324215.03,501414.53,368211.22,198788.69,188795.12,261867.25,229747.05,256342.67,254343.47,249782.5,250048.92,253978.06,243697.08,245396.02,439.0,5804.0,2025,2,1.2246467991473532e-16,-1.0
중식음식점,3110167,1576949.9,724158.9,854515.0,273013.97,220745.89,250060.75,246319.11,228816.97,352477.5,511922.66,331659.78,154361.75,144077.72,218827.95,217496.97,222862.14,221398.84,221638.22,222169.34,219763.42,227180.23,235554.9,499.0,6587.0,2025,2,1.2246467991473532e-16,-1.0
중식음식점,3110168,438206.53,199741.11,238051.11,122884.1,52020.156,66055.55,59630.863,63018.16,88430.41,87883.69,101601.81,63985.01,59950.797,79162.664,53425.25,66756.92,66028.79,63127.26,64229.004,63587.0,57358.99,55548.383,418.0,2486.0,2025,2,1.2246467991473532e-16,-1.0
중식음식점,3110169,595843.4,296109.8,298670.38,79909.97,96451.164,108536.43,91299.875,97694.23,117640.53,143326.58,137074.83,75609.484,72934.62,94384.47,73727.016,86534.0,86965.45,86785.68,86538.88,87048.58,82685.68,79576.39,603.0,2412.0,2025,2,1.2246467991473532e-16,-1.0
중식음식점,3110170,2080320.1,927364.0,1156621.9,291317.44,374304.06,416281.2,324387.2,312316.12,414574.53,719297.6,472522.75,209127.8,194034.8,286696.03,284807.0,297752.75,295095.66,294083.3,297628.84,290436.03,318060.72,314343.34,389.0,6050.0,2025,2,1.2246467991473532e-16,-1.0
중식음식점,3110171,339316.56,156308.03,181852.16,35698.1,39607.34,50746.758,49144.31,63286.855,98074.26,123320.23,69945.57,27621.611,25504.78,41280.234,48348.805,48475.11,47477.164,47562.875,47907.74,47688.17,48760.594,50700.086,222.0,2156.0,2025,2,1.2246467991473532e-16,-1.0
